,movieId,title,genres
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,2,Jumanji (1995),Adventure|Children|Fantasy
5,6,Heat (1995),Action|Crime|Thriller
9,10,GoldenEye (1995),Action|Adventure|Thriller
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,34,Babe (1995),Children|Drama
35,39,Clueless (1995),Comedy|Romance
43,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
46,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
97,110,Braveheart (1995),Action|Drama|War
98,111,Taxi Driver (1976),Crime|Drama|Thriller
123,150,Apollo 13 (1995),Adventure|Drama|IMAX
126,153,Batman Forever (1995),Action|Adventure|Comedy|Crime
134,161,Crimson Tide (1995),Drama|Thriller|War
138,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
156,185,"Net, The (1995)",Action|Crime|Thriller
176,208,Waterworld (1995),Action|Adventure|Sci-Fi
190,223,Clerks (1994),Comedy
197,231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
217,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
224,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
253,292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
257,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
275,316,Stargate (1994),Action|Adventure|Sci-Fi
277,318,"Shawshank Redemption, The (1994)",Crime|Drama
287,329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
302,344,Ace Ventura: Pet Detective (1994),Comedy
307,349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
314,356,Forrest Gump (1994),Comedy|Drama|Romance|War
315,357,Four Weddings and a Funeral (1994),Comedy|Romance
322,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
325,367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
334,377,Speed (1994),Action|Romance|Thriller
337,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
378,434,Cliffhanger (1993),Action|Adventure|Thriller
395,454,"Firm, The (1993)",Drama|Thriller
398,457,"Fugitive, The (1993)",Thriller
418,480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
436,500,Mrs. Doubtfire (1993),Comedy|Drama
461,527,Schindler's List (1993),Drama|War
472,539,Sleepless in Seattle (1993),Comedy|Drama|Romance
474,541,Blade Runner (1982),Action|Sci-Fi|Thriller
504,586,Home Alone (1990),Children|Comedy
505,587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
506,588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
507,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
508,590,Dances with Wolves (1990),Adventure|Drama|Western
509,592,Batman (1989),Action|Crime|Thriller
510,593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
512,595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
514,597,Pretty Woman (1990),Comedy|Romance
520,608,Fargo (1996),Comedy|Crime|Drama|Thriller
546,648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
592,733,"Rock, The (1996)",Action|Adventure|Thriller
594,736,Twister (1996),Action|Adventure|Romance|Thriller
613,778,Trainspotting (1996),Comedy|Crime|Drama
615,780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
659,858,"Godfather, The (1972)",Crime|Drama
694,912,Casablanca (1942),Drama|Romance
706,924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
793,1036,Die Hard (1988),Action|Crime|Thriller
815,1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
