title,0
Forrest Gump (1994),329
"Shawshank Redemption, The (1994)",317
Pulp Fiction (1994),307
"Silence of the Lambs, The (1991)",279
"Matrix, The (1999)",278
Star Wars: Episode IV - A New Hope (1977),251
Jurassic Park (1993),238
Braveheart (1995),237
Terminator 2: Judgment Day (1991),224
Schindler's List (1993),220
Fight Club (1999),218
Toy Story (1995),215
Star Wars: Episode V - The Empire Strikes Back (1980),211
American Beauty (1999),204
"Usual Suspects, The (1995)",204
Seven (a.k.a. Se7en) (1995),203
Independence Day (a.k.a. ID4) (1996),202
Apollo 13 (1995),201
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),200
"Lord of the Rings: The Fellowship of the Ring, The (2001)",198
Star Wars: Episode VI - Return of the Jedi (1983),196
"Godfather, The (1972)",192
"Fugitive, The (1993)",190
Batman (1989),189
Saving Private Ryan (1998),188
"Lord of the Rings: The Two Towers, The (2002)",188
"Lord of the Rings: The Return of the King, The (2003)",185
Aladdin (1992),183
Fargo (1996),181
"Sixth Sense, The (1999)",179
True Lies (1994),178
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),177
"Lion King, The (1994)",172
Back to the Future (1985),171
Speed (1994),171
Gladiator (2000),170
Shrek (2001),170
Men in Black (a.k.a. MIB) (1997),165
Dances with Wolves (1990),164
Mission: Impossible (1996),162
Ace Ventura: Pet Detective (1994),161
Memento (2000),159
"Mask, The (1994)",157
"Dark Knight, The (2008)",149
Pirates of the Caribbean: The Curse of the Black Pearl (2003),149
Beauty and the Beast (1991),146
Alien (1979),146
Die Hard (1988),145
Die Hard: With a Vengeance (1995),144
Mrs. Doubtfire (1993),144
Groundhog Day (1993),143
Inception (2010),143
"Princess Bride, The (1987)",142
Good Will Hunting (1997),141
Finding Nemo (2003),141
Indiana Jones and the Last Crusade (1989),140
Titanic (1997),140
Stargate (1994),140
Star Wars: Episode I - The Phantom Menace (1999),140
Batman Forever (1995),137
Monty Python and the Holy Grail (1975),136
Pretty Woman (1990),135
Dumb & Dumber (Dumb and Dumber) (1994),133
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),133
One Flew Over the Cuckoo's Nest (1975),133
X-Men (2000),133
GoldenEye (1995),132
"Monsters, Inc. (2001)",132
Kill Bill: Vol. 1 (2003),131
"Terminator, The (1984)",131
Reservoir Dogs (1992),131
Eternal Sunshine of the Spotless Mind (2004),131
"Godfather: Part II, The (1974)",129
American History X (1998),129
Babe (1995),128
Goodfellas (1990),126
Aliens (1986),126
"Incredibles, The (2004)",125
"Truman Show, The (1998)",125
Blade Runner (1982),124
Twister (1996),123
"Beautiful Mind, A (2001)",123
E.T. the Extra-Terrestrial (1982),122
Spider-Man (2002),122
"Rock, The (1996)",121
Austin Powers: The Spy Who Shagged Me (1999),121
Ghostbusters (a.k.a. Ghost Busters) (1984),120
Minority Report (2002),120
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",120
"Clockwork Orange, A (1971)",120
Ocean's Eleven (2001),119
Willy Wonka & the Chocolate Factory (1971),119
Batman Begins (2005),116
"Fifth Element, The (1997)",116
Home Alone (1990),116
Ghost (1990),115
Catch Me If You Can (2002),115
Waterworld (1995),115
"Breakfast Club, The (1985)",113
"Net, The (1995)",112
"Bourne Identity, The (2002)",112
"Green Mile, The (1999)",111
Clear and Present Danger (1994),110
Kill Bill: Vol. 2 (2004),110
Jumanji (1995),110
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",110
"Shining, The (1980)",109
Ferris Bueller's Day Off (1986),109
Donnie Darko (2001),109
2001: A Space Odyssey (1968),109
Interview with the Vampire: The Vampire Chronicles (1994),109
Star Trek: Generations (1994),108
Indiana Jones and the Temple of Doom (1984),108
"Departed, The (2006)",107
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),107
Apocalypse Now (1979),107
Sleepless in Seattle (1993),106
"Big Lebowski, The (1998)",106
Up (2009),105
There's Something About Mary (1998),105
Clueless (1995),104
Clerks (1994),104
WALL·E (2008),104
Taxi Driver (1976),104
American Pie (1999),103
Crimson Tide (1995),103
Four Weddings and a Funeral (1994),103
Heat (1995),102
Harry Potter and the Chamber of Secrets (2002),102
Full Metal Jacket (1987),102
Trainspotting (1996),102
Outbreak (1995),101
Cliffhanger (1993),101
"Firm, The (1993)",101
V for Vendetta (2006),100
Austin Powers: International Man of Mystery (1997),100
Cast Away (2000),100
Casablanca (1942),100
